model,policy,empty_probability_threshold,stable_empty_min_steps,recommendation_rate,occupancy_conflict_rate,standard_fpr_occupied_denominator,missed_opportunity_rate,empty_window_precision,empty_window_recall,recommendation_count,occupancy_conflict_count,safe_shiftable_load_opportunity_kwh,gross_shiftable_load_opportunity_kwh,raw_recommended_controllable_kwh,conflict_controllable_kwh,available_empty_controllable_kwh,safe_energy_capture_rate,emission_avoided_kg_co2e,safe_recommended_intervals,split,daily_anchor_count,pareto_frontier
LightGBM,test_daily_threshold_sweep,0.875,4,0.1247577519379845,0.0854368932038835,0.014760147601476014,0.5893635571054926,0.9145631067961165,0.4106364428945074,515,44,918.45703125,1026.34814453125,1026.34814453125,107.89096069335938,2296.60400390625,0.3999196333751112,183.69140625,471,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.85,4,0.14171511627906977,0.11282051282051282,0.02214022140221402,0.5475152571926766,0.8871794871794871,0.4524847428073234,585,66,1010.2861328125,1135.6949462890625,1135.6949462890625,125.40885162353516,2296.60400390625,0.43990436796858473,202.0572265625,519,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.825,4,0.16061046511627908,0.13122171945701358,0.029184837302918484,0.4978204010462075,0.8687782805429864,0.5021795989537925,663,87,1161.90478515625,1310.328857421875,1310.328857421875,148.42384338378906,2296.60400390625,0.5059229989932911,232.38095703125,576,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.8,4,0.1741763565891473,0.13908205841446453,0.03354579000335458,0.46033129904097647,0.8609179415855355,0.5396687009590235,719,100,1249.8271484375,1404.6953125,1404.6953125,154.86825561523438,2296.60400390625,0.5442066400266188,249.9654296875,619,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.775,4,0.18531976744186046,0.13986928104575164,0.0358939953035894,0.42632955536181344,0.8601307189542484,0.5736704446381866,765,107,1360.60009765625,1517.77197265625,1517.77197265625,157.17202758789062,2296.60400390625,0.5924400093973673,272.12001953125,658,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.75,4,0.1935562015503876,0.14518147684605756,0.038913116403891314,0.4045335658238884,0.8548185231539425,0.5954664341761116,799,116,1416.301025390625,1585.090087890625,1585.090087890625,168.78903198242188,2296.60400390625,0.6166936149992187,283.260205078125,683,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.725,4,0.1996124031007752,0.14563106796116504,0.040254948004025494,0.3862249346120314,0.8543689320388349,0.6137750653879687,824,120,1475.6788330078125,1645.7037353515625,1645.7037353515625,170.02487182617188,2296.60400390625,0.6425482279478127,295.1357666015625,704,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.7,4,0.21148255813953487,0.15578465063001146,0.04562227440456223,0.35745422842197033,0.8442153493699885,0.6425457715780296,873,136,1545.118896484375,1741.920166015625,1741.920166015625,196.8013153076172,2296.60400390625,0.6727842039186172,309.02377929687503,737,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.675,4,0.2189922480620155,0.16592920353982302,0.050318685005031866,0.34263295553618134,0.834070796460177,0.6573670444638187,904,150,1565.746826171875,1787.796875,1787.796875,222.05007934570312,2296.60400390625,0.6817661309954725,313.149365234375,754,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.65,4,0.22141472868217055,0.16849015317286653,0.05166051660516605,0.33740191804707936,0.8315098468271335,0.6625980819529207,914,154,1571.4501953125,1800.558837890625,1800.558837890625,229.10867309570312,2296.60400390625,0.6842495234875714,314.2900390625,760,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.625,4,0.22625968992248063,0.17558886509635974,0.05501509560550151,0.32868352223190933,0.8244111349036403,0.6713164777680907,934,164,1592.7899169921875,1860.6142578125,1860.6142578125,267.82421875,2296.60400390625,0.6935413829650394,318.5579833984375,770,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.6,4,0.2366763565891473,0.19754350051177072,0.06474337470647434,0.3164777680906713,0.8024564994882293,0.6835222319093287,977,193,1615.0794677734375,1922.60302734375,1922.60302734375,307.5234680175781,2296.60400390625,0.7032468222760125,323.0158935546875,784,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.575,4,0.24224806201550386,0.211,0.07078161690707817,0.3121185701830863,0.789,0.6878814298169137,1000,211,1615.4908447265625,1981.665283203125,1981.665283203125,366.1741943359375,2296.60400390625,0.7034259463010623,323.0981689453125,789,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.55,4,0.2507267441860465,0.22028985507246376,0.07648440120764843,0.29642545771578027,0.7797101449275362,0.7035745422842197,1035,228,1631.83740234375,2024.7589111328125,2024.7589111328125,392.92132568359375,2296.60400390625,0.7105436547041584,326.36748046875005,807,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.525,4,0.2599321705426357,0.23485554520037277,0.08453539080845354,0.2842197035745423,0.7651444547996272,0.7157802964254577,1073,252,1656.750244140625,2137.86328125,2137.86328125,481.1129455566406,2296.60400390625,0.721391341878134,331.350048828125,821,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.5,4,0.26768410852713176,0.23710407239819004,0.08788996980878899,0.26503923278116825,0.7628959276018099,0.7349607672188317,1105,262,1682.8162841796875,2207.22412109375,2207.22412109375,524.4078979492188,2296.60400390625,0.7327411610000755,336.5632568359375,843,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.45,4,0.2805232558139535,0.24179620034542315,0.09392821200939282,0.23452484742807322,0.7582037996545768,0.7654751525719268,1158,280,1747.664794921875,2303.71435546875,2303.71435546875,556.049560546875,2296.60400390625,0.7609778577191825,349.532958984375,878,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.425,4,0.2916666666666667,0.24916943521594684,0.10063737001006373,0.2118570183086312,0.7508305647840532,0.7881429816913688,1204,300,1801.2275390625,2375.697021484375,2375.697021484375,574.4693603515625,2296.60400390625,0.7843004436110128,360.2455078125,904,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.4,4,0.3018410852713178,0.2608346709470305,0.10902381751090238,0.1970357454228422,0.7391653290529695,0.8029642545771578,1246,325,1825.9495849609375,2456.689453125,2456.689453125,630.740234375,2296.60400390625,0.7950650533810856,365.18991699218753,921,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.375,4,0.30886627906976744,0.27137254901960783,0.11606843341160684,0.1900610287707062,0.7286274509803922,0.8099389712292938,1275,346,1853.438720703125,2525.24951171875,2525.24951171875,671.810791015625,2296.60400390625,0.8070345246941337,370.687744140625,929,test_daily,43,True
