split,model,policy,positive_class,empty_probability_threshold,minimum_empty_window_hours,predicted_empty_window_count,true_empty_window_count,safe_predicted_window_count,conflict_predicted_window_count,window_level_precision,window_level_recall,window_level_occupancy_conflict_rate,average_detected_window_duration_hours,double_counting_policy
validation_daily,Historical average,threshold_sweep,empty,0.75,4.0,11,19,8,3,0.7272727272727273,0.5263157894736842,0.2727272727272727,7.363636363636363,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.775,4.0,11,19,8,3,0.7272727272727273,0.5263157894736842,0.2727272727272727,7.363636363636363,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.8,4.0,11,19,9,2,0.8181818181818182,0.5263157894736842,0.18181818181818182,4.7272727272727275,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.825,4.0,11,19,9,2,0.8181818181818182,0.5263157894736842,0.18181818181818182,4.7272727272727275,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.85,4.0,11,19,9,2,0.8181818181818182,0.5263157894736842,0.18181818181818182,4.7272727272727275,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.875,4.0,11,19,9,2,0.8181818181818182,0.5263157894736842,0.18181818181818182,4.454545454545454,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.9,4.0,5,19,4,1,0.8,0.2631578947368421,0.2,4.0,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.925,4.0,5,19,4,1,0.8,0.2631578947368421,0.2,4.0,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.95,4.0,0,19,0,0,0.0,0.0,0.0,0.0,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.05,1.0,62,44,2,60,0.03225806451612903,0.9545454545454546,0.967741935483871,10.237903225806452,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.075,1.0,61,44,2,59,0.03278688524590164,0.9318181818181818,0.9672131147540983,9.602459016393443,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.1,1.0,68,44,3,65,0.04411764705882353,0.9318181818181818,0.9558823529411765,7.930147058823529,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.125,1.0,65,44,3,62,0.046153846153846156,0.9318181818181818,0.9538461538461539,7.476923076923077,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.15,1.0,58,44,3,55,0.05172413793103448,0.9318181818181818,0.9482758620689655,7.857758620689655,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.175,1.0,54,44,4,50,0.07407407407407407,0.9318181818181818,0.9259259259259259,7.976851851851852,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.2,1.0,48,44,7,41,0.14583333333333334,0.9318181818181818,0.8541666666666666,8.479166666666666,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.225,1.0,45,44,7,38,0.15555555555555556,0.9318181818181818,0.8444444444444444,8.61111111111111,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.25,1.0,44,44,7,37,0.1590909090909091,0.9318181818181818,0.8409090909090909,8.551136363636363,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.275,1.0,44,44,9,35,0.20454545454545456,0.9090909090909091,0.7954545454545454,8.255681818181818,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.3,1.0,43,44,9,34,0.20930232558139536,0.9090909090909091,0.7906976744186046,8.220930232558139,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.325,1.0,42,44,9,33,0.21428571428571427,0.9090909090909091,0.7857142857142857,8.214285714285714,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.35,1.0,42,44,10,32,0.23809523809523808,0.9090909090909091,0.7619047619047619,8.077380952380953,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.375,1.0,43,44,14,29,0.32558139534883723,0.8863636363636364,0.6744186046511628,7.686046511627907,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.4,1.0,44,44,15,29,0.3409090909090909,0.8863636363636364,0.6590909090909091,7.301136363636363,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.425,1.0,43,44,16,27,0.37209302325581395,0.8863636363636364,0.627906976744186,7.133720930232558,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.45,1.0,44,44,17,27,0.38636363636363635,0.8636363636363636,0.6136363636363636,6.755681818181818,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.475,1.0,46,44,17,29,0.3695652173913043,0.8636363636363636,0.6304347826086957,6.244565217391305,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.5,1.0,43,44,17,26,0.3953488372093023,0.8636363636363636,0.6046511627906976,6.465116279069767,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,LightGBM,threshold_sweep,empty,0.525,1.0,43,44,17,26,0.3953488372093023,0.8636363636363636,0.6046511627906976,6.348837209302325,non-overlapping daily forecast anchors and disjoint run extraction
