date_local,occ_count_mean,occ_count_max,occupied,empty,wifi_south_total,wifi_south_mean,air_temp_set_1,air_temp_set_2,dew_point_temperature_set_1d,relative_humidity_set_1,solar_radiation_set_1,temp_interior_mean,mels_S,lig_S,hvac_S,ele_south_total,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,is_weekend,is_business_hour,is_holiday
2019-02-18 21:30:00-08:00,4.266666666666667,5.0,1.0,0.0,65.0,32.5,7.24,7.66,-8.0,33.24,0.0,23.351866666666663,1.7125,1.0,24.43684211,27.14934211,-0.608761429008721,0.7933533402912349,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 21:45:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,7.02,7.66,-8.19,33.27,0.0,23.3414,1.65,1.18,25.36315789,28.193157890000002,-0.5555702330196022,0.8314696123025452,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 22:00:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,6.96,7.76,-8.35,32.98,0.0,23.326833333333337,1.5875,0.2,25.5,27.2875,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 22:15:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,7.4,7.77,-8.31,32.11,0.0,23.345533333333332,1.525,0.2,23.42222222,25.14722222,-0.4422886902190014,0.8968727415326883,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 22:30:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,7.44,7.77,-8.32,31.99,0.0,23.295599999999997,1.4625,0.2,23.68947368,25.35197368,-0.38268343236508956,0.9238795325112868,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 22:45:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,7.26,7.66,-8.35,32.32,0.0,23.299866666666667,1.4,0.2,25.6,27.200000000000003,-0.32143946530316186,0.9469301294951056,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 23:00:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,7.14,7.69,-8.36,32.56,0.0,23.260199999999998,1.44,0.2,25.06666667,26.70666667,-0.2588190451025207,0.9659258262890683,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 23:15:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,7.24,7.66,-8.32,32.43,0.0,23.266466666666663,1.48,0.2,29.51111111,31.19111111,-0.19509032201612872,0.9807852804032303,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 23:30:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,7.27,7.48,-8.2,32.67,0.0,23.253899999999998,1.52,0.2,24.51578947,26.23578947,-0.13052619222005168,0.9914448613738104,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 23:45:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,7.17,7.43,-8.0,33.4,0.0,23.270666666666667,1.56,0.2,25.28,27.040000000000003,-0.06540312923014367,0.9978589232386035,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-19 00:00:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,6.89,7.37,-7.71,34.82,0.0,23.237299999999998,1.6,0.183333333,24.90529412,26.688627453000002,0.0,1.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0
2019-02-19 00:15:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,6.68,7.23,-7.45,36.04,0.0,23.224666666666668,1.7,0.2,24.86111111,26.761111109999998,0.06540312923014306,0.9978589232386035,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0
2019-02-19 00:30:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,6.69,7.37,-7.53,35.81,0.0,23.2164,1.4,0.2,25.44705882,27.04705882,0.13052619222005157,0.9914448613738104,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0
2019-02-19 00:45:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,6.74,7.35,-7.59,35.51,0.0,23.220599999999997,1.475,0.2,25.71052632,27.38552632,0.19509032201612825,0.9807852804032304,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0
2019-02-19 01:00:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,6.69,7.33,-7.62,35.55,0.0,23.243499999999997,1.55,0.2,26.00588235,27.75588235,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0
2019-02-19 01:15:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,6.7,7.19,-7.47,35.95,0.0,23.24973333333333,1.525,0.2,25.45,27.175,0.3214394653031616,0.9469301294951057,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0
2019-02-19 01:30:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,6.55,7.11,-7.24,36.97,0.0,23.185233333333333,1.5,0.2,26.98823529,28.688235289999998,0.3826834323650898,0.9238795325112867,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0
