model,policy,empty_probability_threshold,stable_empty_min_steps,recommendation_rate,occupancy_conflict_rate,standard_fpr_occupied_denominator,missed_opportunity_rate,empty_window_precision,empty_window_recall,recommendation_count,occupancy_conflict_count,safe_shiftable_load_opportunity_kwh,gross_shiftable_load_opportunity_kwh,raw_recommended_controllable_kwh,conflict_controllable_kwh,available_empty_controllable_kwh,safe_energy_capture_rate,safe_recommended_intervals,split,daily_anchor_count,pareto_frontier
DLinear,test_daily_threshold_sweep,0.35,4,0.4583333333333333,0.572938689217759,0.3636363636363636,0.2955536181342633,0.427061310782241,0.7044463818657367,1892,1084,1628.4537353515625,4969.3115234375,4969.3115234375,3340.85791015625,2296.60400390625,0.7090703197337271,808,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.325,4,0.6145833333333334,0.6468269609775326,0.5504864139550486,0.2188317349607672,0.3531730390224675,0.7811682650392328,2537,1641,1784.56982421875,7049.02880859375,7049.02880859375,5264.458984375,2296.60400390625,0.7770472494097411,896,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.3,4,0.7170542635658915,0.6736486486486486,0.6689030526668903,0.1578029642545771,0.3263513513513513,0.8421970357454228,2960,1994,1919.4154052734375,8302.078125,8302.078125,6382.6630859375,2296.60400390625,0.8357624570926204,966,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.275,4,0.7904554263565892,0.6858718970272755,0.7507547802750755,0.1063644289450741,0.3141281029727245,0.8936355710549259,3263,2238,2057.140625,9324.9619140625,9324.9619140625,7267.82080078125,2296.60400390625,0.8957315329508477,1025,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.25,4,0.874031007751938,0.6940133037694013,0.8399865816839986,0.037489102005231,0.3059866962305986,0.962510897994769,3608,2504,2154.15087890625,10378.22265625,10378.22265625,8224.072265625,2296.60400390625,0.9379722735144134,1104,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.225,4,0.8975290697674418,0.6987854251012146,0.86850050318685,0.027027027027027,0.3012145748987854,0.972972972972973,3705,2589,2184.01171875,10664.3583984375,10664.3583984375,8480.34765625,2296.60400390625,0.9509744453267764,1116,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.2,4,0.9212693798449612,0.7020773073889035,0.8956725930895673,0.012205754141238,0.2979226926110965,0.987794245858762,3803,2670,2248.775390625,11020.10546875,11020.10546875,8771.330078125,2296.60400390625,0.97917420103775,1133,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.175,4,0.930717054263566,0.7038001041124414,0.9070781616907078,0.007846556233653,0.2961998958875586,0.992153443766347,3842,2704,2266.3779296875,11127.615234375,11127.615234375,8861.2373046875,2296.60400390625,0.9868387958188094,1138,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.15,4,0.9416182170542636,0.7064574221764858,0.9211673934921168,0.005231037489102,0.2935425778235143,0.994768962510898,3887,2746,2270.856201171875,11260.91015625,11260.91015625,8990.0537109375,2296.60400390625,0.988788749522956,1141,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.125,4,0.9525193798449612,0.7095625635808749,0.9359275410935928,0.004359197907585,0.2904374364191251,0.995640802092415,3932,2790,2276.617919921875,11402.6455078125,11402.6455078125,9126.0283203125,2296.60400390625,0.991297548924246,1142,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.1,4,0.9602713178294574,0.7119071644803229,0.9466621938946662,0.004359197907585,0.288092835519677,0.995640802092415,3964,2822,2276.617919921875,11491.876953125,11491.876953125,9215.259765625,2296.60400390625,0.991297548924246,1142,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.075,4,0.969234496124031,0.7133216695826043,0.9573968466957395,0.0,0.2866783304173956,1.0,4001,2854,2296.60400390625,11608.98046875,11608.98046875,9312.376953125,2296.60400390625,1.0,1147,test_daily,43,True
DLinear,test_daily_threshold_sweep,0.05,4,0.9888565891472868,0.7190102890739833,0.9845689365984568,0.0,0.2809897109260166,1.0,4082,2935,2296.60400390625,11829.974609375,11829.974609375,9533.3701171875,2296.60400390625,1.0,1147,test_daily,43,True
